Record Length,2.50E+03,,0,50,0,*
Sample Interval,2.00E-03,,0.002,50,0,
Trigger Point,0.00E+00,,0.004,50,0,
,,,0.006,50,0,
,,,0.008,49.6,-1.25,
,,,0.01,50,0,
Source,CH1,,0.012,50,0,
Vertical Units,V,,0.014,50,0,
Vertical Scale,1.00E+01,,0.016,50,0,
Vertical Offset,-8.12E+01,,0.018,49.6,-1.25,
Horizontal Units,s,,0.02,50,0,
Horizontal Scale,5.00E-01,,0.022,49.6,-1.25,
Pt Fmt,Y,,0.024,50,0,
Yzero,0.00E+00,,0.026,50,0,
Probe Atten,1.00E+01,,0.028,50,0,
Model Number,TDS2022B,,0.03,50,0,
Serial Number,C051976,,0.032,50,0,
Firmware Version,FV:v22.01,,0.034,50.4,1.25,
,,,0.036,50,0,
,,,0.038,50,0,
,,,0.04,50,0,
,,,0.042,49.6,-1.25,
,,,0.044,50,0,
,,,0.046,49.6,-1.25,
,,,0.048,50.4,1.25,
,,,0.05,50,0,
,,,0.052,49.6,-1.25,
,,,0.054,50,0,
,,,0.056,50,0,
,,,0.058,50,0,
,,,0.06,50,0,
,,,0.062,49.6,-1.25,
,,,0.064,50,0,
,,,0.066,50,0,
,,,0.068,50.4,1.25,
,,,0.07,50,0,
,,,0.072,50,0,
,,,0.074,50,0,
,,,0.076,49.6,-1.25,
,,,0.078,50.4,1.25,
,,,0.08,49.6,-1.25,
,,,0.082,49.6,-1.25,
,,,0.084,50,0,
,,,0.086,50,0,
,,,0.088,50,0,
,,,0.09,50,0,
,,,0.092,49.6,-1.25,
,,,0.094,50,0,
,,,0.096,50,0,
,,,0.098,50.4,1.25,
,,,0.1,50,0,
,,,0.102,50,0,
,,,0.104,50,0,
,,,0.106,50,0,
,,,0.108,50,0,
,,,0.11,50,0,
,,,0.112,49.6,-1.25,
,,,0.114,49.6,-1.25,
,,,0.116,49.6,-1.25,
,,,0.118,50,0,
,,,0.12,49.6,-1.25,
,,,0.122,50,0,
,,,0.124,50,0,
,,,0.126,50,0,
,,,0.128,49.6,-1.25,
,,,0.13,50.4,1.25,
,,,0.132,50,0,
,,,0.134,50,0,
,,,0.136,50,0,
,,,0.138,50,0,
,,,0.14,50,0,
,,,0.142,49.6,-1.25,
,,,0.144,50,0,
,,,0.146,49.6,-1.25,
,,,0.148,50.4,1.25,
,,,0.15,50,0,
,,,0.152,50,0,
,,,0.154,50.4,1.25,
,,,0.156,49.6,-1.25,
,,,0.158,50,0,
,,,0.16,49.6,-1.25,
,,,0.162,50.4,1.25,
,,,0.164,50,0,
,,,0.166,49.6,-1.25,
,,,0.168,50,0,
,,,0.17,49.6,-1.25,
,,,0.172,50.4,1.25,
,,,0.174,50,0,
,,,0.176,49.6,-1.25,
,,,0.178,50,0,
,,,0.18,50,0,
,,,0.182,50,0,
,,,0.184,50,0,
,,,0.186,49.6,-1.25,
,,,0.188,50,0,
,,,0.19,50,0,
,,,0.192,50,0,
,,,0.194,50,0,
,,,0.196,49.6,-1.25,
,,,0.198,49.6,-1.25,
,,,0.2,49.6,-1.25,
,,,0.202,50,0,
,,,0.204,50,0,
,,,0.206,49.6,-1.25,
,,,0.208,49.6,-1.25,
,,,0.21,50,0,
,,,0.212,50,0,
,,,0.214,50,0,
,,,0.216,49.6,-1.25,
,,,0.218,50,0,
,,,0.22,49.6,-1.25,
,,,0.222,50.4,1.25,
,,,0.224,50,0,
,,,0.226,49.6,-1.25,
,,,0.228,50,0,
,,,0.23,50,0,
,,,0.232,50,0,
,,,0.234,50.4,1.25,
,,,0.236,50,0,
,,,0.238,50,0,
,,,0.24,49.6,-1.25,
,,,0.242,50,0,
,,,0.244,50,0,
,,,0.246,49.6,-1.25,
,,,0.248,50,0,
,,,0.25,49.6,-1.25,
,,,0.252,49.6,-1.25,
,,,0.254,50,0,
,,,0.256,50,0,
,,,0.258,50,0,
,,,0.26,49.6,-1.25,
,,,0.262,49.6,-1.25,
,,,0.264,50,0,
,,,0.266,50,0,
,,,0.268,50,0,
,,,0.27,50,0,
,,,0.272,50,0,
,,,0.274,50,0,
,,,0.276,50,0,
,,,0.278,50,0,
,,,0.28,50,0,
,,,0.282,50,0,
,,,0.284,50,0,
,,,0.286,50,0,
,,,0.288,50.4,1.25,
,,,0.29,50,0,
,,,0.292,50,0,
,,,0.294,50,0,
,,,0.296,50,0,
,,,0.298,50,0,
,,,0.3,49.6,-1.25,
,,,0.302,49.6,-1.25,
,,,0.304,49.6,-1.25,
,,,0.306,50,0,
,,,0.308,50.4,1.25,
,,,0.31,49.6,-1.25,
,,,0.312,50,0,
,,,0.314,50,0,
,,,0.316,50,0,
,,,0.318,49.6,-1.25,
,,,0.32,49.6,-1.25,
,,,0.322,50,0,
,,,0.324,50,0,
,,,0.326,50,0,
,,,0.328,50,0,
,,,0.33,49.6,-1.25,
